"","i1.1","i1.2","i1.3","i1.4","i1.5","i1.6","i1.7","i1.8","i1.9","i1.10","i1.11","i1.12"
"1",-1e-04,0,0,-0.000374050815426431,-0.000349267092260143,-0.00145622618216867,-0.000295835710952604,-0.000149273599581526,-0.000284958052596917,-0.000400088531818653,-0.000307158418900779,-0.000959960788793644
"2",0,-1e-04,0,-0.000684811447567605,-0.000639437459227889,-0.00266605583698536,-0.000541615398508576,-0.000273289792715765,-0.000521700604428495,-0.000732481244072618,-0.000562344988448209,-0.00175749419669749
"3",0,0,-1e-04,-0.00108205866883074,-0.00101036401828597,-0.00421258850190586,-0.000855797079926242,-0.000431820452712067,-0.00082433005984521,-0.0011573808859649,-0.000888551544786838,-0.00277698604150231
"4",0.000168322866941894,0.000308165151405422,0.000486926400973832,-1e-04,0,0,0,0,0,0,0,0
"5",0.000157170191517065,0.00028774685665255,0.000454663808228687,0,-1e-04,0,0,0,0,0,0,0
"6",0.0006553017819759,0.00119972512664341,0.00189566482585764,0,0,-1e-04,0,0,0,0,0,0
"7",0.000133126069928672,0.000243726929328859,0.000385108685966809,0,0,0,-1e-04,0,0,0,-7.26791544327766e-05,-0.000227143825872735
"8",6.71731198116869e-05,0.000122980406722094,0.00019431920372043,0,0,0,0,-1e-04,0,0,-0.000144038124513181,-0.000450161685682772
"9",0.000128231123668613,0.000234765271992823,0.000370948526930344,0,0,0,0,0,-1e-04,0,-7.54535242191194e-05,-0.00023581455095992
"10",0.000180039839318394,0.000329616559832678,0.000520821398684205,0,0,0,0,0,0,-1e-04,0,-0.000167955964421428
"11",0.000138221288505351,0.000253055244801694,0.000399848195154077,0,0,0,6.17772812678601e-05,0.000122432405836203,6.41354955862515e-05,0,-1e-04,-0.000218770676890551
"12",0.00043198235495714,0.000790872388513869,0.00124964371867604,0,0,0,0.000193072251991825,0.000382637432830356,0.000200442368315932,0.000142762569758214,0.000185955075356969,-1e-04
